115	4489
515	17320
916	29856
2	1560
1	47
2	1755
52	1227
2	83
108	6444
20	1794
6	890
5	163
2	67
12	380
7	155
1	66
7	153
36	2143
1	44
2	63
1	43
2	56
1	54
5	184
3	107
2	59
3	128
2	92
9	315
2	64
9	519
59	5189
10	326
93	6563
1	53
2	58
2	62
4	134
81	5334
7	210
3	106
2	62
8	192
22	611
44	1179
40	1430
1	38
15	928
1	37
41	2775
3	6763
673	39104
1	43
2	751
70	3230
1	44
399	17157
89	8428
1	36
31	1508
1	40
130	8113
282	14978
1	40
2	1024
189	5171
116	8094
4	11726
2	3054
2	1294
60	3556
4	184
3	121
1	44
2	65
5	81
1	53
12	348
1481	100060
164	10382
17	1107
3	6337
1	204
1	204
1	224
994	54717
6	20328
148	6686
2	1018
1	73
2	2799
3	7228
84	8437
2	2698
3	10895
2	1862
37	2744
356	29086
2	5758
36	1133
1	49
343	18135
145	25059
59	3354
78	10966
16	1333
2	812
1	73
1	41
442	26982
65	6547
13	282
7	243
1802	112940
2	1503
6	18428
232	10455
7377	371979
5	128
5	141
5	125
5	153
61	2968
77	2633
3	94
125	8653
90	6678
2	1016
1	231
4	9275
1	55
1	318
2	1199
2	684
2	819
2	750
25	1599
9	279
14	915
2	56
1	66
34	2348
1	57
1	66
9	157
31	2107
29	1947
1	89
1	89
6	278
1	66
7	356
1	158
1	46
1	89
1	66
8	441
1	113
23	1632
1	77
1	77
1	77
1	77
1	77
6	280
42	2940
1	66
2	48
9	514
2	52
65	4945
1	66
1	66
1	113
31	2094
1	89
1	66
1	66
1	66
1	66
1	66
1	66
14	798
13	558
9	379
1	112
1	66
1	66
2	60
17	533
9	510
1	100
10	458
10	460
1	111
1	66
1	66
1	89
1	66
2	51
2	55
18	897
1	66
2	71
1	66
1	66
9	518
1	66
6	273
1	66
17	1051
1	66
7	358
1	66
16	1075
8	294
1	66
1	112
25	96243
2	3562
5	89
345	13584
19	795
4	8742
3	4990
1	218
224	10205
18	6091
33	1180
4	9570
1	216
1	216
1	244
1	224
2	1526
1	464
2	3378
3	148
2	1181
1	227
1	239
126	6279
48	2061
59	1870
46	1106
4	11952
4	10602
2	1566
1	401
1	33
4	12967
2	2520
3	68
1	516
1	1154
3	76
4	111
242	21789
1	212
4	133
1	496
1	358
1	51
7	142
209	6098
84	2770
1	64
1	366
23	89604
1	392
2	1164
17	64756
15	56732
5	15743
5	13079
32	1260
42	1187
595	24244
26	476
49	1214
74	1504
236	5214
178	2830
53	1934
74	2590
92	6480
279	13846
328	13250
39	1324
42	1604
44	1163
106	3270
27	1024
20	640
101	2019
224	7502
26	582
288	5853
52	1020
55	874
3652	96485
210	7115
221	7514
17	704
17	704
61	2046
103	2583
4	243
212	7026
702	19050
108	2378
41	792
62	2005
169	6587
36	1229
330	8310
138	3892
50	1199
45	1193
285	6060
61	1572
46	816
138	3272
50	1502
24	752
28	850
45	785
158	5596
20	387
23	493
55	2012
342	10241
33	668
20	386
21	340
23	474
78	1515
514	33552
752	20932
91	3407
43	1169
470	11134
210	8006
126	2872
38	1003
19	338
50	1501
143	3821
43	934
320	10688
603	20774
74	2624
104	2352
9	162
463	15983
193	3755
41	1109
69	2078
33	734
2	118
392	13080
15	477
13	497
358	13726
54	1682
216	6601
314	9283
24	562
184	3481
69	2078
8	278
8	188
11	395
9	288
274	9354
27	1114
38	618
10	331
1	104
7	220
1	43
1	54
38	864
45	902
80	2279
52	1451
52	1393
45	786
920	30272
55	1233
77	2600
333	19437
41	2520
34	2749
2	947
1	675
1	1759
1	740
1	237
1	2245
1	827
1	222
1	948
2	719
27	1114
1	143
1	83
1	227
1	385
90	2908
8	141
1	67
1	162
1	405
114	4542
2	1008
2	1860
438	17512
108	2392
38	726
50	1775
110	3116
38	614
1862	96100
50	1377
6	202
54	1334
114	2716
855	30432
447	17747
166	5300
48	1438
24	645
38	892
86	2924
304	9782
516	15542
356	10202
310	9216
40	764
52	1466
196	4198
422	14280
390	13090
144	4434
271	8515
114	2856
68	1732
88	1870
248	8514
64	1836
66	1888
144	5369
134	3674
76	1726
468	14240
52	1522
182	5188
32	930
518	14514
380	11891
158	4380
124	3552
52	618
32	478
94	2228
82	1698
100	2966
76	1700
312	10238
70	2598
114	4030
106	2362
640	18770
20	556
166	2778
58	1298
76	1382
288	9086
225	9921
66	1588
214	9002
244	8348
188	3956
28	657
88	2506
156	3526
1090	41552
64	1913
334	16234
43	885
80	2024
106	2508
66	1200
73	2002
80	1328
52	920
214	5340
22	442
88	2132
552	20944
390	13368
178	15529
34	706
134	2432
81	2833
92	2734
166	5384
172	3728
79	2468
28	608
148	5788
96	3286
58	1432
234	8574
171	5415
48	1108
54	1432
56	1168
38	750
2	100
38	648
39	556
110	2780
